TF,Gene,t_1/2,amp,R_squared_lm
STB1,YHP1,0.159065232312829,0.30672579508663805,0.9419803962172169
STB1,YOX1,5.023838059205218,0.2636005418927248,0.6813507379697579
SWI5,CDC20,-3.846570344157972,0.24848794273623817,0.9447525173950215
SWI5,CLB1,-5.114016476834422,0.26326835081486183,0.8221468658005066
SWI5,CLB2,-0.29576270579875485,0.19658302951721648,0.669142933928006
SWI5,CLB3,-3.741953495570336,0.1474585297891261,0.2718854364714779
SWI5,CLB5,0.364994845829972,0.6274542738698333,0.9681056709512899
SWI5,CLB6,3.339734629625955,0.5271828378657867,0.9005177219813916
SWI5,CLN1,1.6468390028182311,2.3177624030774164,0.5497985583878069
SWI5,CLN2,1.8602261104091296,2.6053860894727663,0.9932567171500647
SWI5,CLN3,0.19996082816588653,0.728497101664953,0.7671185470018301
SWI5,FKH1,-3.948090687768654,0.19830143511729928,0.7904564756031527
SWI5,FKH2,-0.6630575978559992,0.17996952849802542,0.8404819801924944
SWI5,HCM1,-4.113018799422771,0.10486522280316413,0.2797177069533636
SWI5,MBP1,-2.938113732233644,1.420153623025369,0.7355099399748232
SWI5,NDD1,-0.10375696963089208,611.6414931711257,0.4857132645260972
SWI5,NRM1,1.574962722133205,4.5742049698194975,0.5838124921282745
SWI5,PLM2,1.7337449859304708,1.347656956050922,0.6876848064700909
SWI5,STB1,3.616141145641215,0.2688133982225145,0.7548333598080676
SWI5,SWI4,0.7665651669953509,0.3934949181104522,0.9960052618779226
SWI5,SWI6,-6.533720742675497,0.17118768902707646,0.41941788134854874
SWI5,TOS4,1.6881038705169578,2.939050173349711,0.9577117426024766
SWI5,WHI5,3.2688297135140663,1.9922460725938524,0.0780117239182141
SWI5,YHP1,4.268929556256433,0.13472439012923984,0.48696610705285137
SWI5,YOX1,-3.816676049811552,0.17148817193606536,0.27055275664255596
SWI6,ACE2,-3.9186116009027985,0.08198383749695837,0.3297661223926065
SWI6,CLB1,0.15632170040523796,0.2648614696877249,0.8116902921721214
SWI6,CLB4,0.33011600030753213,0.4076639146379439,0.993648064832348
SWI6,CLB5,0.5727449880340159,0.5720733435418097,0.9863963329346808
SWI6,CLB6,0.543909944124738,2.286934535997323,0.9995465124970291
SWI6,CLN1,0.4958091632246273,0.9203423795949998,0.9665586682717976
SWI6,CLN2,0.49412951528299637,1.4739793197235755,0.9896051469986624
SWI6,CLN3,-4.480543432099305,0.3747893532000914,0.8816529978348981
SWI6,FKH1,0.11148169242433502,1816.143646008898,0.9321813709414727
SWI6,HCM1,0.20604273096254067,0.5692236541647466,0.9708527055870625
SWI6,MCM1,3.333530686434695,1.9329118312589073,0.8118720153334729
SWI6,NDD1,1.7450544117436826,0.9683420972037813,0.6236427656932524
SWI6,NRM1,0.06657512712693321,40993.66279779123,0.9710451770953146
SWI6,PLM2,0.23458523091157701,0.8784974451535604,0.9953406426893585
SWI6,STB1,0.12834415963102452,11783.747298225457,0.9570438316229857
SWI6,SWI4,0.08737499177461093,2573.3299834382924,0.960173980499915
SWI6,SWI5,1.7230518723396364,1.227908479192616,0.6803481503887637
SWI6,TOS4,3.2134133080256113,0.4138925138958242,0.6188834878005915
SWI6,WHI5,-0.02068271829652739,1441.851931605971,0.4946350406046387
SWI6,YHP1,4.857229648619022,0.6339680320901413,0.9326359294985197
SWI6,YOX1,3.2320303477234638,1.8604133043805782,0.999330746821576
WHI5,CLB1,-0.24132928108735968,0.3589649366892117,0.9422498774905391
WHI5,CLB3,-0.19763947760302328,0.37447652110769963,0.9834981555165498
WHI5,CLB4,-0.17984254945293202,0.31939569614512436,0.9970538732771396
WHI5,CLB5,-0.24643035122339738,0.7595431099818032,0.998316859414233
WHI5,CLB6,-0.19888859428277192,1.8651781403408811,0.9962851440398883
WHI5,CLN1,-0.15837129156807453,1.616945245021509,0.9863136913441406
WHI5,CLN2,-0.19934710264577454,1.5172307371971885,0.9818197965733203
WHI5,CLN3,4.030859195791641,0.32868005212391704,0.9896354113983918
WHI5,FKH1,-0.34829875114055614,0.2546448683941501,0.9591481418587406
WHI5,HCM1,-0.33831722036472855,0.7845318720404033,0.9848163642562527
WHI5,NDD1,-0.25681865971496814,0.2961934025059977,0.9453584450388636
WHI5,NRM1,-0.25220930664316493,0.7412699050190947,0.9859830455823062
WHI5,PLM2,-0.13970340810472218,1.7133178064096986,0.9949970001740956
