,TF,Gene,R_squared_lm,R_squared_dogbox_init,R_squared_dogbox
161,SWI5,NDD1,0.485713265,0,0.608467521
162,SWI5,NRM1,0.583812492,0.031563354,0.583812563
163,SWI5,PLM2,0.687684806,,0.687684834
164,SWI5,STB1,0.75483336,,0.754833362
165,SWI5,SWI4,0.996005262,0.996005262,0.996005262
166,SWI5,SWI6,0.419417881,0,0.419417881
167,SWI5,TOS4,0.957711743,0.417886037,0.618946499
168,SWI5,WHI5,0.078011724,0,0.132828413
169,SWI5,YHP1,0.486966107,0.486966107,0.486966107
170,SWI5,YOX1,0.270552757,0,0
171,SWI6,ACE2,0.329766122,0,0
172,SWI6,CLB1,0.811690292,0.811690292,0.811690292
173,SWI6,CLB4,0.993648065,0.798429904,0.993648065
174,SWI6,CLB5,0.986396333,0.986396333,0.986396333
175,SWI6,CLB6,0.999546512,0.999546512,0.999546512
176,SWI6,CLN1,0.966558668,0.966558668,0.966558668
177,SWI6,CLN2,0.989605147,0.989605147,0.989605147
178,SWI6,CLN3,0.881652998,0.881652998,0.006721316
179,SWI6,FKH1,0.932181371,,0.918213782
180,SWI6,HCM1,0.970852706,0.970852706,0.970852706
181,SWI6,MBP1,,1.11E-16,0.017584686
182,SWI6,MCM1,0.811872015,0.811872057,0.811872057
183,SWI6,NDD1,0.623642766,0.126863001,0.249595147
184,SWI6,NRM1,0.971045177,0.949460962,0.931087643
185,SWI6,PLM2,0.995340643,0.995340643,0.995340643
186,SWI6,STB1,0.957043832,0.880449503,0.922422859
187,SWI6,SWI4,0.96017398,0.957379878,0.958792291
188,SWI6,SWI5,0.68034815,0.118915538,0.101001536
189,SWI6,TOS4,0.618883488,0.618883494,0.618883494
190,SWI6,WHI5,0.494635041,0.492021722,0.453813331
191,SWI6,YHP1,0.932635929,0.93263593,0.932635928
192,SWI6,YOX1,0.999330747,0.999330747,0.999330747
193,WHI5,CLB1,0.942249877,0,0.406818095
194,WHI5,CLB3,0.983498156,0,0.983498156
195,WHI5,CLB4,0.997053873,1.11E-16,0.997053873
196,WHI5,CLB5,0.998316859,0,0.998316859
197,WHI5,CLB6,0.996285144,0.996285144,0.170967792
198,WHI5,CLN1,0.986313691,-2.22E-16,0.986313691
199,WHI5,CLN2,0.981819797,-2.22E-16,0.200542586
200,WHI5,CLN3,0.989635411,0.989635406,0.989635409
201,WHI5,FKH1,0.959148142,0,1.11E-16
202,WHI5,HCM1,0.984816364,-2.22E-16,0.143303685
203,WHI5,NDD1,0.945358445,2.22E-16,0
204,WHI5,NRM1,0.985983046,0,0.153203643
205,WHI5,PLM2,0.994997,0,0.994997
206,WHI5,STB1,0.997514078,0.997514078,0.997514078
207,WHI5,SWI4,0.997740011,0,0.997740011
208,WHI5,TOS4,0.996799611,0,0.139558029
209,WHI5,YHP1,0.978242805,0,0.786012297
210,WHI5,YOX1,0.976474424,0,0.889175285
211,YHP1,CDC20,0.958961405,0.955435998,0.955435998
212,YHP1,CLB1,0.986572543,0,0.201393097
213,YHP1,CLB2,0.968303055,1.11E-16,0.968303055
214,YHP1,HCM1,0.204372606,0,0.067605381
215,YHP1,PLM2,0.914202435,0.914202449,0.914202444
216,YHP1,WHI5,0.411320145,,
217,YHP1,YOX1,0.984703037,0,0.984703037
218,YOX1,CDC20,0.966551694,0,0.374792711
219,YOX1,CLB2,0.970351523,-2.22E-16,0.970351523
220,YOX1,CLB6,0.959580332,,0.952672091
221,YOX1,CLN1,0.831282343,-2.22E-16,0.831282348
222,YOX1,CLN2,0.270590369,0,0.270589563
223,YOX1,CLN3,0.951983285,1.11E-16,0.636742215
224,YOX1,MBP1,,0.629286296,0.629286296
225,YOX1,PLM2,0.48034386,-2.22E-16,0.041876055
226,YOX1,STB1,0.849669137,0,0.586671427
227,YOX1,SWI4,0.983542672,0,0.983542674
228,YOX1,SWI5,0.495988866,2.22E-16,2.22E-16
229,YOX1,TOS4,0.50630469,-2.22E-16,0.506304687
230,YOX1,YHP1,0.99592404,0,0.200205693
