TF,strain,date,restriction,mechanism,time,GeneName,green_median,red_median,log2_ratio,log2_cleaned_ratio,log2_noise_model,log2_cleaned_ratio_zth2d,log2_selected_timecourses,log2_shrunken_timecourses
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLN1,6175.576,5208.688,-0.545188956583,-0.173425229769,0.151768036924,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLN1,5868.81,4564.065,-0.662738522479,-0.223609945101,0.151942179573,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLN1,5785.659,4829.809,-0.560670116588,-0.250536644451,0.158703569255,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLN1,6472.9175,5488.704,-0.538074471743,-0.263603362784,0.161554270502,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLN1,6083.9285,6041.1985,-0.310310433069,-0.133448247151,0.166795250046,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLN2,613.71995,642.0183,0.0,0.0,0.134670106728,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLN2,648.2766,604.98405,-0.168481087205,-0.0836804015819,0.126461840658,-0.0836804015819,-0.0836804015819,-0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLN2,679.43815,621.0787,-0.197985997359,-0.081477869156,0.125832315382,-0.081477869156,-0.081477869156,-0.0003017352805879133
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLN2,680.0233,618.03185,-0.206690803287,-0.138375228239,0.12694506217,-0.138375228239,-0.138375228239,-0.0226731658208504
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLN2,528.1368,501.07815,-0.145933532266,-0.1392721886,0.127153205665,-0.1392721886,-0.1392721886,-0.0546663263783024
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLN2,585.141,718.4736,0.228236772374,0.125328269363,0.135160403491,0.125328269363,0.125328269363,0.0496450218419185
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLN2,679.35275,1115.2785,0.647909564744,0.461774112258,0.138496549037,0.461774112258,0.461774112257,0.4611429983440737
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLN2,740.54425,1441.0425,0.892247111428,0.578208170245,0.144575818224,0.578208170245,0.578208170245,0.5781767845261649
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLN3,659.45485,903.462,0.0,0.0,0.178445054883,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLN3,748.222,1259.7135,0.296387206577,0.0854472643568,0.1655740432,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLN3,799.455,1702.377,0.635646303419,0.152000806979,0.165093725602,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLN3,655.34625,1502.891,0.742820526783,0.235698500815,0.165943410378,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLN3,709.19095,1554.676,0.677563642584,0.0712970383125,0.16610269218,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLN3,692.4509,1577.6465,0.733288625138,0.0523977148827,0.172309318698,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLN3,758.59135,1781.106,0.776823952624,0.142246624087,0.174938448416,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLN3,750.3379,1783.4335,0.794057657402,0.173069917062,0.179789693403,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,FKH1,627.1444,598.07295,0.0,0.0,0.116238764797,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,FKH1,595.65955,546.9615,-0.0506066033927,-0.0432573493726,0.110176106631,-0.0432573493726,-0.0432573493726,-0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,FKH1,675.71565,559.8846,-0.199173217967,-0.177729472337,0.109452953017,-0.177729472337,-0.177729472338,-0.0383357915051191
ACE2,SMY64,12/16/2015,P,GEV,15.0,FKH1,661.72465,578.6832,-0.123016081267,-0.062612963913,0.110730421019,-0.062612963913,-0.062612963913,-0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,FKH1,623.87495,542.2568,-0.130452151774,-0.128335968767,0.110968982335,-0.128335968767,-0.128335968767,-0.0552621799619429
ACE2,SMY64,12/16/2015,P,GEV,30.0,FKH1,613.4317,461.98055,-0.338584804591,-0.303654133728,0.120060451446,-0.303654133728,-0.303654133729,-0.2949722758009577
ACE2,SMY64,12/16/2015,P,GEV,45.0,FKH1,674.08715,446.1986,-0.526981946762,-0.436454070282,0.12380416562,-0.436454070282,-0.436454070282,-0.4361570802183438
ACE2,SMY64,12/16/2015,P,GEV,90.0,FKH1,703.47005,431.9872,-0.6321526422929999,-0.650459932651,0.130569309353,-0.650459932651,-0.650459932651,-0.6504592666962613
ACE2,SMY64,12/16/2015,P,GEV,0.0,FKH2,548.78135,629.44985,0.0,0.0,0.109990774675,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,FKH2,661.7292,750.17275,-0.017578616768,-0.00142855606321,0.104694195314,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,FKH2,582.5549,679.9852,0.0263075163191,-0.0179760216125,0.103932906166,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,FKH2,636.95845,834.1614,0.191249995637,0.111656589598,0.105277377433,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,FKH2,569.67875,784.6495,0.26544464128,0.117615676931,0.105528266832,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,FKH2,567.4282,787.8537,0.275530825629,0.122236801381,0.115050476147,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,FKH2,629.19875,703.9429,-0.0336412701497,-0.0907875331674,0.118951971337,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,FKH2,635.7653,722.50925,-0.0148669196849,-0.0960463600272,0.125977952853,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,HCM1,1006.5715,840.31705,0.0,0.0,0.136650100165,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,HCM1,1090.50985,893.26495,-0.0276768840185,-0.00462295626219,0.128219631883,-0.00462295626219,-0.00462295626219,-0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,HCM1,1097.977,861.97935,-0.0926187068546,-0.000398303548238,0.127598779195,-0.000398303548238,-0.000398303548238,-1.4750291598403222e-06
ACE2,SMY64,12/16/2015,P,GEV,15.0,HCM1,1102.5826,756.4387,-0.281261726158,-0.181157101468,0.128696253508,-0.181157101468,-0.181157101468,-0.061291919374641
ACE2,SMY64,12/16/2015,P,GEV,20.0,HCM1,903.9794,589.54505,-0.357378576263,-0.242941908691,0.128901569302,-0.242941908691,-0.242941908691,-0.1909284906327198
ACE2,SMY64,12/16/2015,P,GEV,30.0,HCM1,939.11895,571.5343,-0.462906093378,-0.380581028479,0.136806474735,-0.380581028479,-0.38058102848,-0.3750316143639349
ACE2,SMY64,12/16/2015,P,GEV,45.0,HCM1,1017.0118,568.99565,-0.581607287486,-0.538700616575,0.140103429483,-0.538700616575,-0.538700616575,-0.5386027475116136
ACE2,SMY64,12/16/2015,P,GEV,90.0,HCM1,1078.4988,620.02405,-0.540790558147,-0.560226996566,0.14611585839,-0.560226996566,-0.560226996565,-0.5601572305112104
ACE2,SMY64,12/16/2015,P,GEV,0.0,MBP1,1690.9445,1401.1815,0.0,0.0,0.0906779477523,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,MBP1,1879.233,1637.7755,0.0736161054148,0.0627730597273,0.0879278545826,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,MBP1,1801.1075,1529.872,0.036373468349,0.0297475957928,0.0870200095564,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,MBP1,1904.7785,1541.06,-0.0336367705813,0.00260222247157,0.088621438028,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,MBP1,1692.4935,1362.3585,-0.0408303615319,0.0181179723789,0.0889193352409,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,MBP1,1699.474,1274.084,-0.143679969121,-0.04611906254,0.100035219501,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,MBP1,1911.3295,1314.46,-0.267933345127,-0.138818891658,0.104498825659,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,MBP1,1955.8915,1408.3355,-0.201354833785,-0.172494344414,0.112431657838,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,MCM1,1240.0115,1107.255,0.0,0.0,0.122569735252,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,MCM1,1267.928,1286.4595,0.180429006378,0.0584719497232,0.115752677884,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,MCM1,1348.8195,1266.671,0.0712987681828,-0.103352624982,0.115064577039,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,MCM1,1342.93095,1446.4175,0.28175465064,0.0366645605686,0.116280411523,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,MCM1,1278.8255,1386.345,0.273073057643,0.0296491675126,0.116507609218,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,MCM1,1271.8575,1401.236,0.298842725188,0.0,0.125197523804,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,MCM1,1348.7095,1402.958,0.217486073486,-0.00887796596594,0.128792000489,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,MCM1,1397.5165,1430.7725,0.189990200619,0.0217600401095,0.135307991301,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,NDD1,891.5594,907.38725,0.0,0.0,0.119336290356,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,NDD1,1076.41955,1050.2658,-0.066687751578,-0.0803507843653,0.112901982272,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,NDD1,979.90125,973.854,-0.0374453945774,-0.0296989279949,0.112196399464,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,NDD1,1033.0272,950.29595,-0.151821297346,-0.0990167207127,0.113442978045,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,NDD1,900.31555,795.59085,-0.207324889229,-0.117631846568,0.113675846903,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,NDD1,919.27585,769.43035,-0.282127648653,-0.203658752167,0.12256669666,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,NDD1,1011.7026,772.76475,-0.415684296741,-0.253785466296,0.126236106378,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,NDD1,1047.73425,812.77215,-0.398417061841,-0.420364138049,0.132877491223,-0.0,0.0,0.0
