,TF,target,num_peaks,num_valleys,mean_curvature,cluster
254,WHI5,CDH1,3,3,-0.045055729083218934,6
255,WHI5,CLB1,1,0,-0.08473447338297505,5
256,WHI5,CLB2,2,1,-0.012052355271050913,0
257,WHI5,CLB3,1,1,-0.06665772545744038,2
258,WHI5,CLB4,0,0,-0.08830694759005504,5
259,WHI5,CLB5,0,0,-0.033242154938535225,5
260,WHI5,CLB6,1,0,-0.06114642270224799,5
261,WHI5,CLN1,0,0,-0.0490636029232573,5
262,WHI5,CLN2,1,1,0.010681312192690987,2
263,WHI5,CLN3,2,3,0.11783480102919908,3
264,WHI5,FKH1,1,0,-0.0802572909763965,5
265,WHI5,FKH2,2,1,-0.06143172386267132,0
266,WHI5,HCM1,1,0,-0.027690035019241235,5
267,WHI5,MBP1,2,2,-0.1325343937221175,0
268,WHI5,MCM1,2,3,0.18116258644239974,3
269,WHI5,NDD1,1,1,-0.08602237151447917,2
270,WHI5,NRM1,1,0,-0.07118514165693621,5
271,WHI5,PLM2,0,0,-0.04176078548763522,5
272,WHI5,STB1,0,1,0.05395326564226617,2
273,WHI5,SWI4,0,1,0.036389613327179916,2
274,WHI5,SWI5,2,2,-0.10707650719237082,0
275,WHI5,SWI6,1,0,-0.07314471215899669,5
276,WHI5,TOS4,1,0,-0.042056578445217735,5
277,WHI5,WHI5,2,2,-0.08664914455275266,4
278,WHI5,YHP1,1,0,-0.07097921144247864,5
279,WHI5,YOX1,1,0,-0.04253916968176505,5
280,YHP1,ACE2,2,1,-0.13695615911419182,0
281,YHP1,CDC20,1,2,0.054626176946826144,1
282,YHP1,CDH1,2,1,0.005366157932724193,0
283,YHP1,CLB1,1,1,0.014975107999992049,2
284,YHP1,CLB2,1,2,0.10669783468772381,1
285,YHP1,CLB3,1,1,0.0024780998699237694,2
286,YHP1,CLB4,1,1,0.016545846125289296,2
287,YHP1,CLB5,3,3,0.09752061125319028,3
288,YHP1,CLB6,2,1,-0.0852135241494278,0
289,YHP1,CLN1,2,2,-0.08559150588053294,4
290,YHP1,CLN2,3,3,-0.050981751872199804,6
291,YHP1,CLN3,1,1,0.03980867584691174,2
292,YHP1,FKH1,2,1,-0.035030205560045574,0
293,YHP1,FKH2,2,1,-0.13853264457917994,0
294,YHP1,HCM1,2,2,0.17067142787158435,3
295,YHP1,MBP1,3,2,-0.09706364463128206,6
296,YHP1,MCM1,1,1,-0.04484293320231317,2
297,YHP1,NDD1,3,2,-0.11621380534211209,6
298,YHP1,NRM1,1,1,0.07678201731478272,2
299,YHP1,PLM2,2,2,0.04002610982592754,4
300,YHP1,STB1,2,1,-0.1336530317193448,0
301,YHP1,SWI4,2,2,0.024952067214712922,4
302,YHP1,SWI5,1,1,0.04908767834388364,2
303,YHP1,SWI6,2,2,0.018582202102282203,4
304,YHP1,TOS4,1,1,-0.11456022655321046,2
305,YHP1,WHI5,2,2,-0.09886047019320998,0
306,YHP1,YHP1,1,0,-0.1244478811790949,5
307,YHP1,YOX1,1,1,-0.04135954841710446,2
308,YOX1,ACE2,1,1,0.09325214726435978,1
309,YOX1,CDC20,2,2,-0.006977108097708087,4
310,YOX1,CDH1,1,1,0.10093488393086043,1
311,YOX1,CLB1,2,1,-0.14933787938252313,0
312,YOX1,CLB2,1,1,0.006129743959109091,2
313,YOX1,CLB3,2,2,-0.126777831161241,0
314,YOX1,CLB4,3,2,-0.14812575846762696,6
315,YOX1,CLB5,1,1,0.048422370486665665,2
316,YOX1,CLB6,1,1,-0.01680353157471519,2
317,YOX1,CLN1,2,1,-0.10451022210781456,0
318,YOX1,CLN2,2,1,-0.08918536658091647,0
319,YOX1,CLN3,1,1,-0.016093826626590382,2
320,YOX1,FKH1,3,2,-0.22610867470064944,6
321,YOX1,FKH2,3,2,-0.26471623124482624,6
322,YOX1,HCM1,2,2,0.03876618193284323,4
323,YOX1,MBP1,3,3,0.0016788318721827206,6
324,YOX1,MCM1,2,2,-0.0034829640477508916,4
325,YOX1,NDD1,1,1,-0.024968088670269555,2
326,YOX1,NRM1,1,1,-0.03774743551120727,2
327,YOX1,PLM2,1,0,-0.06025778270682794,5
328,YOX1,STB1,3,2,-0.11327775243440129,6
329,YOX1,SWI4,2,2,0.006909500234542575,4
330,YOX1,SWI5,3,2,-0.0021457091656802672,6
331,YOX1,SWI6,2,1,-0.07965552936895748,0
332,YOX1,TOS4,1,0,-0.05815337839677023,5
333,YOX1,WHI5,2,1,-0.17194358361982529,0
334,YOX1,YHP1,1,0,-0.038285468845884386,5
335,YOX1,YOX1,1,1,-0.09160522447601285,2
