,start,end,path,graph,time
198,CLB5,CDH1,,grn,
199,CLB5,CLB1,,grn,
200,CLB5,CLB2,,grn,
201,CLB5,CLB3,,grn,
202,CLB5,CLB4,,grn,
203,CLB5,CLB5,,grn,
204,CLB5,CLB6,,grn,
205,CLB5,CLN1,,grn,
206,CLB5,CLN2,,grn,
207,CLB5,CLN3,,grn,
208,CLB5,FKH1,,grn,
209,CLB5,FKH2,,grn,
210,CLB5,HCM1,,grn,
211,CLB5,MBP1,,grn,
212,CLB5,MCM1,,grn,
213,CLB5,NDD1,,grn,
214,CLB5,NRM1,,grn,
215,CLB5,PLM2,,grn,
216,CLB5,STB1,,grn,
217,CLB5,SWI4,,grn,
218,CLB5,SWI5,,grn,
219,CLB5,SWI6,,grn,
220,CLB5,TOS4,,grn,
221,CLB5,WHI5,,grn,
222,CLB5,YHP1,,grn,
223,CLB5,YOX1,,grn,
224,CLB6,ACE2,,grn,
225,CLB6,CDC20,,grn,
226,CLB6,CDH1,,grn,
227,CLB6,CLB1,,grn,
228,CLB6,CLB2,,grn,
229,CLB6,CLB3,,grn,
230,CLB6,CLB4,,grn,
231,CLB6,CLB5,,grn,
232,CLB6,CLB6,,grn,
233,CLB6,CLN1,,grn,
234,CLB6,CLN2,,grn,
235,CLB6,CLN3,,grn,
236,CLB6,FKH1,,grn,
237,CLB6,FKH2,,grn,
238,CLB6,HCM1,,grn,
239,CLB6,MBP1,,grn,
240,CLB6,MCM1,,grn,
241,CLB6,NDD1,,grn,
242,CLB6,NRM1,,grn,
243,CLB6,PLM2,,grn,
244,CLB6,STB1,,grn,
245,CLB6,SWI4,,grn,
246,CLB6,SWI5,,grn,
247,CLB6,SWI6,,grn,
248,CLB6,TOS4,,grn,
249,CLB6,WHI5,,grn,
250,CLB6,YHP1,,grn,
251,CLB6,YOX1,,grn,
252,CLN1,ACE2,,grn,
253,CLN1,CDC20,,grn,
254,CLN1,CDH1,,grn,
255,CLN1,CLB1,,grn,
256,CLN1,CLB2,,grn,
257,CLN1,CLB3,,grn,
258,CLN1,CLB4,,grn,
259,CLN1,CLB5,,grn,
260,CLN1,CLB6,,grn,
261,CLN1,CLN1,,grn,
262,CLN1,CLN2,,grn,
263,CLN1,CLN3,,grn,
264,CLN1,FKH1,,grn,
265,CLN1,FKH2,,grn,
266,CLN1,HCM1,,grn,
267,CLN1,MBP1,,grn,
268,CLN1,MCM1,,grn,
269,CLN1,NDD1,,grn,
270,CLN1,NRM1,,grn,
271,CLN1,PLM2,,grn,
272,CLN1,STB1,,grn,
273,CLN1,SWI4,,grn,
274,CLN1,SWI5,,grn,
275,CLN1,SWI6,,grn,
276,CLN1,TOS4,,grn,
277,CLN1,WHI5,,grn,
278,CLN1,YHP1,,grn,
279,CLN1,YOX1,,grn,
280,CLN2,ACE2,,grn,
281,CLN2,CDC20,,grn,
282,CLN2,CDH1,,grn,
283,CLN2,CLB1,,grn,
284,CLN2,CLB2,,grn,
285,CLN2,CLB3,,grn,
286,CLN2,CLB4,,grn,
287,CLN2,CLB5,,grn,
288,CLN2,CLB6,,grn,
289,CLN2,CLN1,,grn,
290,CLN2,CLN2,,grn,
291,CLN2,CLN3,,grn,
292,CLN2,FKH1,,grn,
293,CLN2,FKH2,,grn,
294,CLN2,HCM1,,grn,
295,CLN2,MBP1,,grn,
296,CLN2,MCM1,,grn,
297,CLN2,NDD1,,grn,
298,CLN2,NRM1,,grn,
299,CLN2,PLM2,,grn,
300,CLN2,STB1,,grn,
301,CLN2,SWI4,,grn,
302,CLN2,SWI5,,grn,
303,CLN2,SWI6,,grn,
304,CLN2,TOS4,,grn,
305,CLN2,WHI5,,grn,
306,CLN2,YHP1,,grn,
307,CLN2,YOX1,,grn,
308,CLN3,ACE2,,grn,
309,CLN3,CDC20,,grn,
310,CLN3,CDH1,,grn,
311,CLN3,CLB1,,grn,
312,CLN3,CLB2,,grn,
313,CLN3,CLB3,,grn,
314,CLN3,CLB4,,grn,
315,CLN3,CLB5,,grn,
316,CLN3,CLB6,,grn,
317,CLN3,CLN1,,grn,
318,CLN3,CLN2,,grn,
319,CLN3,CLN3,,grn,
320,CLN3,FKH1,,grn,
321,CLN3,FKH2,,grn,
322,CLN3,HCM1,,grn,
323,CLN3,MBP1,,grn,
324,CLN3,MCM1,,grn,
325,CLN3,NDD1,,grn,
326,CLN3,NRM1,,grn,
327,CLN3,PLM2,,grn,
328,CLN3,STB1,,grn,
329,CLN3,SWI4,,grn,
330,CLN3,SWI5,,grn,
331,CLN3,SWI6,,grn,
332,CLN3,TOS4,,grn,
333,CLN3,WHI5,,grn,
334,CLN3,YHP1,,grn,
335,CLN3,YOX1,,grn,
336,FKH1,ACE2,,grn,
337,FKH1,CDC20,"['FKH1', 'YHP1', 'CDC20']",grn,21.441653669522903
338,FKH1,CDH1,,grn,
339,FKH1,CLB1,"['FKH1', 'YHP1', 'CLB1']",grn,31.044874057777733
340,FKH1,CLB2,"['FKH1', 'YHP1', 'YOX1', 'CLB2']",grn,26.788652726931204
341,FKH1,CLB3,,grn,
342,FKH1,CLB4,"['FKH1', 'MBP1', 'CLB4']",grn,8.519098839012319
