TF,Gene,R_squared_dogbox_init
FKH2,CLB1,0.0
FKH2,CLB2,0.0
FKH2,CLB3,3.3306690738754696e-16
FKH2,CLB4,0.0
FKH2,CLB6,0.9800069209558943
FKH2,CLN1,1.1102230246251565e-16
FKH2,CLN2,0.0
FKH2,CLN3,0.04229597467963431
FKH2,FKH1,0.0
FKH2,HCM1,0.025802052007265264
FKH2,MBP1,0.0
FKH2,MCM1,0.050627486461981674
FKH2,NDD1,0.9609406507082839
FKH2,NRM1,0.0
FKH2,PLM2,0.0
FKH2,STB1,0.8003162880692417
FKH2,SWI5,0.0
FKH2,SWI6,0.0
FKH2,TOS4,0.0
FKH2,WHI5,0.0
FKH2,YOX1,0.0
HCM1,CDC20,0.0
HCM1,CLB3,0.9974439796787681
HCM1,CLB4,0.9969989294167425
HCM1,CLB5,-2.220446049250313e-16
HCM1,CLB6,0.7553892684081671
HCM1,CLN2,1.1102230246251565e-16
HCM1,CLN3,-2.220446049250313e-16
HCM1,FKH1,0.9887526237112747
HCM1,FKH2,0.9989549715530758
HCM1,MBP1,0.9903781330866241
HCM1,NDD1,0.9991656769348747
HCM1,NRM1,0.9975929177107807
HCM1,PLM2,0.9882119577674675
HCM1,SWI4,0.7729394656566142
HCM1,SWI5,0.9888560473308915
HCM1,SWI6,0.9893966343110571
HCM1,TOS4,2.220446049250313e-16
HCM1,WHI5,0.9975542734346842
HCM1,YHP1,0.9816743585603434
HCM1,YOX1,0.0
MBP1,ACE2,0.9388010204782129
MBP1,CDC20,2.220446049250313e-16
MBP1,CDH1,0.8584488667239751
MBP1,CLB1,0.9992761635952581
MBP1,CLB3,0.0
MBP1,CLB4,1.0
MBP1,CLB5,1.0
MBP1,CLB6,1.0
MBP1,CLN1,1.0
MBP1,CLN3,0.25611225800413673
MBP1,FKH1,0.950521806542161
MBP1,FKH2,0.992299163127991
MBP1,HCM1,2.220446049250313e-16
MBP1,MCM1,0.9721668525129724
MBP1,NDD1,-2.220446049250313e-16
MBP1,NRM1,0.11281545823184846
MBP1,PLM2,1.0
MBP1,SWI4,1.0
MBP1,SWI6,1.0
MBP1,TOS4,0.004803574028143687
MBP1,YOX1,1.0
NRM1,ACE2,0.49797452434950107
NRM1,CDC20,0.0064753032399494925
NRM1,CDH1,0.8540820821229061
NRM1,CLB1,0.0
NRM1,CLB2,0.0
NRM1,CLB3,0.0
NRM1,CLB4,-4.440892098500626e-16
NRM1,CLB5,2.220446049250313e-16
NRM1,CLB6,-2.220446049250313e-16
NRM1,CLN2,0.0
NRM1,CLN3,0.7707102830915938
NRM1,FKH1,0.740960973683588
NRM1,FKH2,0.6371810512480953
NRM1,HCM1,0.0
NRM1,MBP1,-2.220446049250313e-16
NRM1,NDD1,0.49406995905581097
NRM1,PLM2,0.0
NRM1,STB1,0.0
NRM1,SWI4,0.6580004362433999
NRM1,SWI6,0.0
NRM1,TOS4,0.0
NRM1,WHI5,0.0
NRM1,YHP1,0.0
NRM1,YOX1,0.0
STB1,CLB5,0.9982714164734489
STB1,CLB6,0.9064591206148297
STB1,CLN1,0.9147708965699707
STB1,CLN2,0.731409955967827
STB1,HCM1,0.9369666629778933
STB1,NRM1,0.9803660986492254
STB1,PLM2,0.9980605871704425
STB1,SWI4,0.0
STB1,TOS4,0.998310831673091
STB1,YHP1,0.9419803963327522
STB1,YOX1,0.6813507379879495
SWI5,ACE2,0.5227715508450246
SWI5,CDC20,0.0
SWI5,CLB1,-2.220446049250313e-16
SWI5,CLB2,0.0
SWI5,CLB3,0.0
SWI5,CLB5,0.9681056709905942
SWI5,CLB6,0.9005177267252775
SWI5,CLN1,0.01827611193319645
SWI5,CLN3,0.7671185453198873
SWI5,FKH1,0.7904564775706429
SWI5,FKH2,0.0
SWI5,HCM1,0.27971770745328584
SWI5,MBP1,0.7354985718608813
SWI5,NDD1,0.0
SWI5,NRM1,0.03156335422054046
SWI5,SWI4,0.996005261877917
SWI5,SWI6,0.0
SWI5,TOS4,0.4178860366466445
SWI5,WHI5,0.0
SWI5,YHP1,0.4869661071579705
SWI5,YOX1,0.0
SWI6,ACE2,0.0
SWI6,CLB1,0.8116902921023061
SWI6,CLB4,0.7984299042903807
SWI6,CLB5,0.986396332950165
SWI6,CLB6,0.9995465124970291
SWI6,CLN1,0.966558668432439
SWI6,CLN2,0.9896051470049227
SWI6,CLN3,0.8816529980761924
SWI6,HCM1,0.9708527055937943
SWI6,MBP1,1.1102230246251565e-16
SWI6,MCM1,0.8118720571550959
SWI6,NDD1,0.12686300124287897
SWI6,NRM1,0.9494609623865853
SWI6,PLM2,0.9953406426893088
SWI6,STB1,0.8804495034449732
SWI6,SWI4,0.957379878338952
SWI6,SWI5,0.1189155378920812
SWI6,TOS4,0.6188834940586003
SWI6,WHI5,0.49202172187921145
SWI6,YHP1,0.9326359295289117
SWI6,YOX1,0.9993307468402293
WHI5,CLB1,0.0
WHI5,CLB3,0.0
WHI5,CLB4,1.1102230246251565e-16
WHI5,CLB5,0.0
WHI5,CLB6,0.99628514404031
WHI5,CLN1,-2.220446049250313e-16
WHI5,CLN2,-2.220446049250313e-16
WHI5,CLN3,0.98963540624043
WHI5,FKH1,0.0
WHI5,HCM1,-2.220446049250313e-16
WHI5,NDD1,2.220446049250313e-16
WHI5,NRM1,0.0
WHI5,PLM2,0.0
WHI5,STB1,0.9975140775763959
WHI5,SWI4,0.0
WHI5,TOS4,0.0
WHI5,YHP1,0.0
WHI5,YOX1,0.0
YHP1,CDC20,0.9554359980609534
YHP1,CLB1,0.0
YHP1,CLB2,1.1102230246251565e-16
YHP1,HCM1,0.0
YHP1,PLM2,0.9142024487591982
YHP1,YOX1,0.0
YOX1,CDC20,0.0
YOX1,CLB2,-2.220446049250313e-16
YOX1,CLN1,-2.220446049250313e-16
YOX1,CLN2,0.0
YOX1,CLN3,1.1102230246251565e-16
YOX1,MBP1,0.6292862961508431
YOX1,PLM2,-2.220446049250313e-16
YOX1,STB1,0.0
YOX1,SWI4,0.0
YOX1,SWI5,2.220446049250313e-16
YOX1,TOS4,-2.220446049250313e-16
YOX1,YHP1,0.0
ACE2,CLB1,0.9419617530611426
ACE2,CLB2,0.8876300808846375
ACE2,CLB3,0.9891770875817706
ACE2,CLB6,0.9718060130747896
ACE2,CLN1,0.6578859984174392
ACE2,CLN2,0.7461518073148863
ACE2,CLN3,0.3867810580922527
ACE2,FKH1,0.7628593307578379
ACE2,HCM1,0.9671740868666702
ACE2,NDD1,0.8733458723300327
ACE2,NRM1,0.9953023743061059
ACE2,PLM2,0.9973075003944698
ACE2,STB1,0.6289335708179976
ACE2,SWI4,0.7982852648590353
ACE2,SWI5,0.9262363342849506
ACE2,TOS4,0.9990003958825964
ACE2,YHP1,0.9978313645389716
ACE2,YOX1,0.9127392594784967
FKH1,ACE2,0.8827962228733701
FKH1,CDC20,0.7153657531199773
FKH1,CLB1,0.45505286866431716
FKH1,CLB2,0.8263763065977217
FKH1,CLB3,0.9312606846033601
FKH1,CLB4,0.9989233652471843
FKH1,CLB5,0.8574709233201289
FKH1,CLB6,0.9031763134134144
FKH1,CLN1,0.6077708205172097
FKH1,CLN2,0.32443074190300725
FKH1,CLN3,0.020758055498998784
FKH1,FKH2,0.9993997117452642
FKH1,MBP1,0.978741712892878
FKH1,NDD1,0.9598938418359142
FKH1,NRM1,0.990516621605553
FKH1,PLM2,0.9879361220596967
FKH1,STB1,0.9238696874124981
FKH1,SWI4,0.8824607255973973
FKH1,SWI5,0.9912879881750595
FKH1,SWI6,0.9990740100769695
FKH1,WHI5,0.927380500030266
FKH1,YHP1,0.9961598029507432
FKH1,YOX1,0.16342332382265468
FKH2,CDC20,0.9521192032061012
FKH2,CDH1,0.860003626517487
FKH2,CLB1,0.9829618631531256
FKH2,CLB2,0.3213255067479801
FKH2,CLB3,0.5763517709134296
FKH2,CLB4,0.9997923618987954
FKH2,CLB6,0.9800069209468614
FKH2,CLN1,0.5132225527751302
FKH2,CLN2,0.9917263681818672
FKH2,CLN3,0.5850038566842367
FKH2,FKH1,0.9933054587724068
FKH2,HCM1,0.06335100655079062
FKH2,MBP1,0.9219429903498356
FKH2,MCM1,0.4094184553853788
FKH2,NDD1,0.9609406503504606
FKH2,NRM1,0.9977898370098894
FKH2,PLM2,0.9802551352790995
FKH2,STB1,0.8157210506614869
FKH2,SWI4,0.8790675960002925
FKH2,SWI5,0.9899558191618687
FKH2,SWI6,0.9509038862010327
FKH2,TOS4,0.6623313600208334
FKH2,WHI5,0.5265328715729491
FKH2,YHP1,0.9959121292774075
FKH2,YOX1,0.9894044585381389
HCM1,CDC20,0.8869275654896616
HCM1,CLB3,0.9974439796785546
HCM1,CLB4,0.9969989294165852
HCM1,CLB5,0.9884536050805799
HCM1,CLB6,0.7553892676114928
HCM1,CLN1,0.9425476619002127
HCM1,CLN2,0.9390001664040049
HCM1,CLN3,0.7661414207930946
HCM1,FKH1,0.9887526236879698
HCM1,FKH2,0.9989549715530164
HCM1,MBP1,0.9903781330793887
HCM1,NDD1,0.9991656769348736
HCM1,NRM1,0.9975929177107962
HCM1,PLM2,0.9882119577670304
HCM1,SWI4,0.937195430663109
HCM1,SWI5,0.9888560473324731
HCM1,SWI6,0.9893966343080481
HCM1,TOS4,0.9327856658352998
HCM1,WHI5,0.9975542734351944
HCM1,YHP1,0.9816743585483971
HCM1,YOX1,0.9094140088658893
