TF,Gene,t_1/2,amp,R_squared_trf
SWI5,STB1,5.196655721747002,0.26881339798262865,0.7548333616057555
SWI5,SWI4,0.7665650462193945,0.3934949271713583,0.9960052618779198
SWI5,SWI6,-4.879789287190894,0.17118768958037145,0.419417880885287
SWI5,TOS4,3.679043582426472,0.3619701582565367,0.9577117531330774
SWI5,WHI5,5.077838416474304,0.1999658545561765,0.07801173795277438
SWI5,YHP1,3.444496244051909,0.13472440062866223,0.48696610063945955
SWI5,YOX1,-4.821243517159231,0.17148817084247467,0.2705527583505368
SWI6,ACE2,-4.604464767358207,0.0819838385879633,0.3297661265235575
SWI6,CLB1,0.15634692109909523,0.26483186479878706,0.8116902915158026
SWI6,CLB4,0.3301228331844515,0.40764704511054173,0.9936480648297008
SWI6,CLB5,0.5727554290666056,0.5720717910709936,0.9863963329601482
SWI6,CLB6,0.5439099160066707,2.2869345569859627,0.999546512497029
SWI6,CLN1,0.49583647859235735,0.9203333793894218,0.9665586684923099
SWI6,CLN2,0.49413250170391515,1.473977631037746,0.9896051470056894
SWI6,CLN3,3.874838111790222,-0.3747893551415345,0.8816529937042172
SWI6,FKH1,2.6986979552040946,0.3694924893001848,0.9366532321053725
SWI6,HCM1,0.20603614555298877,0.5692307919988913,0.9708527056086709
SWI6,MBP1,-5.975651793568287,0.019749642841500683,0.01758467238498218
SWI6,MCM1,4.2632958462415935,0.156279584815947,0.8118720471129459
SWI6,NDD1,3.5944380244412546,0.21888274220696355,0.6236427747919385
SWI6,NRM1,0.06657499386305238,47627.1804872514,0.9710451960663978
SWI6,PLM2,0.23458532750869926,0.8784973113891613,0.9953406426893658
SWI6,STB1,0.12834430021806842,11487.540171600622,0.9570438267793289
SWI6,SWI4,0.08737642750341784,2366.049227810801,0.9601739657756656
SWI6,SWI5,8.572847470632386,0.2672271320278942,0.6803481821232504
SWI6,TOS4,4.387831436824135,0.4138925118232158,0.6188834938350506
SWI6,WHI5,-0.02068322215162141,1378.9597074668363,0.4946349566110786
SWI6,YHP1,3.8396573144290125,0.6339680342793991,0.9326359284481892
SWI6,YOX1,3.408579363138962,1.8604132088484069,0.9993307469077216
WHI5,CLB1,0.24132119223355608,-0.3589706720873612,0.9422498775822259
WHI5,CLB3,0.19764150672747713,-0.3744743608295357,0.9834981555199451
WHI5,CLB4,0.17984273142325574,-0.3193955488141126,0.9970538732771123
WHI5,CLB5,0.246430687061741,-0.7595427441635393,0.9983168594141649
WHI5,CLB6,0.19888857692455797,-1.8651782122109601,0.9962851440399136
WHI5,CLN1,0.15837135674042718,-1.616944878323641,0.98631369134393
WHI5,CLN2,0.19934124806478212,-1.5172494795966385,0.9818197965897449
WHI5,CLN3,3.382676844531354,0.32868005467217887,0.9896354108459067
WHI5,FKH1,0.34832370685436553,-0.25464038160924934,0.9591481420670616
WHI5,HCM1,0.3383156102745599,-0.7845324481154498,0.984816364271498
WHI5,NDD1,0.2568198055041078,-0.2961930185873468,0.9453584450000773
WHI5,NRM1,0.2522057512911279,-0.7412731802970933,0.9859830455860445
WHI5,PLM2,0.1397018811457443,-1.7133292939505178,0.9949970001730918
WHI5,STB1,-0.15174620837749944,0.8592963730764508,0.997514077576358
WHI5,SWI4,0.1783376752056698,-0.829769028411913,0.9977400105683362
WHI5,TOS4,0.2295887219000212,-1.6947819407923626,0.9967996109021252
WHI5,YHP1,0.2538395465351827,-0.8578423603388604,0.9782428052078297
WHI5,YOX1,0.18858979056758238,-1.9550861880327255,0.9764744239009168
YHP1,CDC20,0.0614367105648879,-267.1786118010732,0.9589582149979117
YHP1,CLB1,0.34292062909093346,-0.3748070001992606,0.9865725427353228
YHP1,CLB2,3.764248268217338,-0.2791157556138989,0.9683030545316293
YHP1,HCM1,6.158647060522674,-0.08238144319286696,0.06760534761001014
YHP1,PLM2,3.393102651026932,-0.4884944289628639,0.9142024288887612
YHP1,WHI5,1.518095222988902,6.645069221885056,0.41132009403913894
YHP1,YOX1,0.6786127061349556,-0.4669838122162965,0.9847030370088401
YOX1,CDC20,0.5215948296580462,-0.49513203786538995,0.9665516944956168
YOX1,CLB2,0.7662247504256459,-0.32091783168941573,0.970351522652637
YOX1,CLB6,-0.06918640409975585,539.7039475544642,0.9595789243629461
YOX1,CLN1,3.1606797565529803,-0.25741569052421187,0.8312823401645804
YOX1,CLN2,-5.155465093179887,0.1357714014332029,0.27068707982852036
YOX1,CLN3,0.31362697839085285,-0.6600577967540855,0.9519832851335718
YOX1,MBP1,6.641130678432231,0.13207170857265263,0.6292862518769942
YOX1,PLM2,-5.971074160919627,0.12286351411244431,0.4803438617640746
YOX1,STB1,-0.950330740066779,0.18027730810985523,0.8496691373964124
YOX1,SWI4,4.030422925758334,-0.5038546863118862,0.9835426732566614
YOX1,SWI5,0.2796516308255833,-0.15176045558781115,0.49598835684977083
YOX1,TOS4,0.5058623105688815,-0.15440560370589718,0.5063046866708514
YOX1,YHP1,0.33258429418829993,-0.8282103734137674,0.9959240398468232
